,项目批准号,项目类别,学科分类,项目名称,立项时间,项目负责人,专业职务,工作单位,单位类别,所在省区市,所属系统,成果名称,成果形式,成果等级,结项时间,结项证书号,出版社,出版时间,作者,获奖情况
3,18BGL016,一般项目,管理学,网络效应视角下中国电动汽车产业的演化机理与培育政策研究,2018-06-21,孙晓华,正高级,大连理工大学,985高校211高校,辽宁,高等院校、其他学校,,,,,,,,,
4,18BGL017,一般项目,管理学,乡村振兴战略下现代农业服务供应链协同机制研究,2018-06-21,张德海,正高级,重庆工商大学,,重庆,高等院校、其他学校,,,,,,,,,
5,18BGL018,一般项目,管理学,新时代物流业高质量发展的动力变革研究,2018-06-21,王健,正高级,福州大学,211高校,福建,高等院校、其他学校,,,,,,,,,
6,18BGL019,一般项目,管理学,制造业服务化与产业价值链升级研究,2018-06-21,郝凤霞,副高级,同济大学,985高校211高校,上海,高等院校、其他学校,,,,,,,,,
7,18BGL020,一般项目,管理学,中国特色军民融合深度发展演化机理及其实施路径研究,2018-06-21,方炜,副高级,西北工业大学,985高校211高校,陕西,高等院校、其他学校,,,,,,,,,
8,18BGL021,一般项目,管理学,“一带一路”倡议下我国企业集群式投资战略与全球价值链重构研究,2018-06-21,岳中刚,正高级,南京邮电大学,,江苏,高等院校、其他学校,,,,,,,,,
9,18BGL022,一般项目,管理学,“一带一路”倡议下中国企业国际化的战略与机制研究,2018-06-21,冯帆,副高级,南京大学,985高校211高校,江苏,高等院校、其他学校,,,,,,,,,
10,18BGL023,一般项目,管理学,“一带一路”国家劳动保护制度对中国企业对外直接投资效率的影响研究,2018-06-21,王雷,中级,兰州大学,985高校211高校,甘肃,高等院校、其他学校,,,,,,,,,
11,18BGL024,一般项目,管理学,全球价值链重构背景下中国制造企业跨国并购后的控制策略研究,2018-06-21,乐琦,副高级,华南师范大学,211高校,广东,高等院校、其他学校,,,,,,,,,
12,18BGL025,一般项目,管理学,我国互联网企业参与“一带一路”建设的模式与推进机制研究,2018-06-21,胡保亮,正高级,杭州电子科技大学,,浙江,高等院校、其他学校,,,,,,,,,
13,18BGL026,一般项目,管理学,制度落差对中国海外投资企业社会责任的影响研究,2018-06-21,陈怀超,副高级,太原理工大学,211高校,山西,高等院校、其他学校,,,,,,,,,
14,18BGL027,一般项目,管理学,基础研究强度的创新质量效应及最优区间研究,2018-06-21,黄苹,正高级,广东金融学院,,广东,高等院校、其他学校,,,,,,,,,
15,18BGL028,一般项目,管理学,基于生态化网络结构的平台治理及协同创新机制研究,2018-06-21,戴勇,正高级,湖北工业大学,,湖北,高等院校、其他学校,,,,,,,,,
16,18BGL029,一般项目,管理学,技术风口下商业模式创新预测及对策研究,2018-06-21,李向前,副高级,安徽工业大学,,安徽,高等院校、其他学校,,,,,,,,,
17,18BGL030,一般项目,管理学,军民科技融合网络的创新催化机制研究,2018-06-21,王育晓,副高级,西安工业大学,,陕西,高等院校、其他学校,,,,,,,,,
18,18BGL031,一般项目,管理学,平台型企业商业模式创新迭代过程的合法性测评及其应用研究,2018-06-21,徐天舒,副高级,苏州科技大学,,江苏,高等院校、其他学校,,,,,,,,,
19,18BGL032,一般项目,管理学,世界级制造业创新生态系统知识优势形成机理与培育政策研究,2018-06-21,赵长轶,副高级,四川大学,985高校211高校,四川,高等院校、其他学校,,,,,,,,,
,项目批准号,项目类别,学科分类,项目名称,立项时间,项目负责人,专业职务,工作单位,单位类别,所在省区市,所属系统,成果名称,成果形式,成果等级,结项时间,结项证书号,出版社,出版时间,作者,获奖情况
0,18BGL033,一般项目,管理学,新时代我国西部地区军民融合创新生态系统演化机理及发展战略研究,2018-06-21,缪小明,正高级,西北工业大学,985高校211高校,陕西,高等院校、其他学校,,,,,,,,,
1,18BGL034,一般项目,管理学,研发联盟惯例治理功能及其对区域创新的作用路径研究,2018-06-21,刘景东,中级,安徽大学,211高校,安徽,高等院校、其他学校,,,,,,,,,
2,18BGL035,一般项目,管理学,中国淘宝村包容性创新模式、机理及演化路径研究,2018-06-21,范轶琳,正高级,浙江树人学院,,浙江,高等院校、其他学校,,,,,,,,,
3,18BGL036,一般项目,管理学,创新型国家建设背景下我国高校科研人员学术创业行为的驱动机理与促进政策研究,2018-06-21,王季,副高级,辽宁大学,211高校,辽宁,高等院校、其他学校,,,,,,,,,
4,18BGL037,一般项目,管理学,促进绿色技术创新及应用的专利制度评价及优化研究,2018-06-21,刘珊,中级,浙江工业大学,,浙江,高等院校、其他学校,,,,,,,,,
5,18BGL038,一般项目,管理学,高校专利技术转移的实现机理及推进策略研究,2018-06-21,康旭东,正高级,大连理工大学,985高校211高校,辽宁,高等院校、其他学校,,,,,,,,,
