,项目批准号,项目类别,学科分类,项目名称,立项时间,项目负责人,专业职务,工作单位,单位类别,所在省区市,所属系统,成果名称,成果形式,成果等级,结项时间,结项证书号,出版社,出版时间,作者,获奖情况
15,18BTQ047,一般项目,图书馆、情报与文献学,宋辽金佛寺壁画的文献考察,2018-06-21,马新广,副高级,山西师范大学,,山西,高等院校、其他学校,,,,,,,,,
16,18BTQ048,一般项目,图书馆、情报与文献学,越南与中国南海地名考证及历史地理信息平台建设研究,2018-06-21,许盘清,正高级,三江学院,,江苏,高等院校、其他学校,,,,,,,,,
17,18BTQ049,一般项目,图书馆、情报与文献学,基于区块链的新媒体舆情信息追溯及生态治理研究,2018-06-21,赵丹,副高级,东北电力大学,,吉林,高等院校、其他学校,,,,,,,,,
18,18BTQ050,一般项目,图书馆、情报与文献学,基于信息级联的网络意见偏差及引导机制研究,2018-06-21,魏建良,副高级,浙江工商大学,,浙江,高等院校、其他学校,,,,,,,,,
19,18BTQ051,一般项目,图书馆、情报与文献学,军民融合战略下情报学理论体系的创新与发展研究,2018-06-21,卢胜军,中级,军事科学院,,军队,军队系统(包括地方军队院校),,,,,,,,,
,项目批准号,项目类别,学科分类,项目名称,立项时间,项目负责人,专业职务,工作单位,单位类别,所在省区市,所属系统,成果名称,成果形式,成果等级,结项时间,结项证书号,出版社,出版时间,作者,获奖情况
0,18BTQ052,一般项目,图书馆、情报与文献学,社会突发事件应急管理中的情报介入与融合研究,2018-06-21,刘建准,副高级,天津工业大学,,天津,高等院校、其他学校,,,,,,,,,
1,18BTQ053,一般项目,图书馆、情报与文献学,中国青少年期刊融合发展研究,2018-06-21,吴燕,副高级,南京大学,985高校211高校,江苏,高等院校、其他学校,,,,,,,,,
2,18BTQ054,一般项目,图书馆、情报与文献学,总体国家安全观视阈下的科技情报服务创新研究,2018-06-21,李辉,副高级,北京市科学技术情报研究所,,北京,其他,,,,,,,,,
3,18BTQ055,一般项目,图书馆、情报与文献学,大数据环境下智慧城市信息安全困境及应对策略研究,2018-06-21,邹凯,正高级,湘潭大学,,湖南,高等院校、其他学校,,,,,,,,,
4,18BTQ056,一般项目,图书馆、情报与文献学,面向出版流程的学术期刊质量控制研究,2018-06-21,杨丹丹,副高级,武汉大学,985高校211高校,湖北,高等院校、其他学校,,,,,,,,,
5,18BTQ057,一般项目,图书馆、情报与文献学,面向我国特色新型智库的信息支撑模式研究,2018-06-21,杨峰,正高级,广东财经大学,,广东,高等院校、其他学校,,,,,,,,,
6,18BTQ058,一般项目,图书馆、情报与文献学,面向智库建设的图书馆知识服务模式和创新路径研究,2018-06-21,黄务兰,正高级,常州大学,,江苏,高等院校、其他学校,,,,,,,,,
7,18BTQ059,一般项目,图书馆、情报与文献学,全球OA科技期刊出版大数据监测模型研究,2018-06-21,黄金霞,副高级,中国科学院,,机关,其他,,,,,,,,,
8,18BTQ060,一般项目,图书馆、情报与文献学,新时代中国特色新型智库的知识服务研究,2018-06-21,周刚,副高级,苏州科技大学,,江苏,高等院校、其他学校,,,,,,,,,
9,18BTQ061,一般项目,图书馆、情报与文献学,移动图书馆用户信息交互行为中的情感体验研究,2018-06-21,赵杨,副高级,武汉大学,985高校211高校,湖北,高等院校、其他学校,,,,,,,,,
10,18BTQ062,一般项目,图书馆、情报与文献学,大数据环境下农业科学数据监管机制构建研究,2018-06-21,陆丽娜,副高级,东北农业大学,211高校,黑龙江,高等院校、其他学校,,,,,,,,,
