ad_track,adid,attribute_text,coid,company_href,company_name,companyind_text,companysize_text,companytype_text,degreefrom,effect,isFromXyz,isIntern,is_special_job,iscommunicate,isdiffcity,issuedate,job_href,job_name,job_title,jobid,jobwelf,jobwelf_list,jt,providesalary_text,tags,type,updatedate,workarea,workarea_text,workyear
,,"成都-武侯区,2年经验,大专,招1人",4876326,https://jobs.51job.com/all/co4876326.html,四川中原物业顾问有限公司,房地产,1000-5000人,外资（非欧美）,5,1,,,,,,2022-03-06 00:09:21,https://jobs.51job.com/chengdu-whq/135842973.html?s=sou_sou_soulb&t=0_0,房地产数据专员,房地产数据专员,135842973,员工旅游 出国机会 绩效奖金 带薪休假 弹性工作 做五休二 五险一金,,0_0,4.5-6千/月,,engine_jds,03-06,090204,成都-武侯区,4
,,"成都-高新区,无需经验,大专,招2人",6895422,https://jobs.51job.com/all/coUTFVOVY8BD8EZQJjUzQ.html,四川同星瑞通讯科技有限公司,通信/电信/网络设备,,民营公司,5,1,,,,,,2022-03-05 17:46:53,https://jobs.51job.com/chengdu-gxq/137763705.html?s=sou_sou_soulb&t=0_0,大数据实习,大数据实习,137763705,五险一金 专业培训 绩效奖金 年终奖金 弹性工作 定期体检 补充医疗保险 交通补贴,,0_0,6-8千/月,,engine_jds,03-05,090220,成都-高新区,10
,,"成都-双流区,3-4年经验,本科,招1人",159304,https://jobs.51job.com/all/co159304.html,广州赛意信息科技股份有限公司,计算机软件,1000-5000人,上市公司,6,1,,,,,,2022-03-05 15:00:01,https://jobs.51job.com/chengdu-slq/136802609.html?s=sou_sou_soulb&t=0_0,中级ETL开发工程师,中级ETL开发工程师,136802609,五险一金 补充医疗保险,,0_0,1-2万/月,,engine_jds,03-05,090215,成都-双流区,5
,,"成都-青羊区,1年经验,大专,招1人",5567972,https://jobs.51job.com/all/co5567972.html,四川百世威体育用品有限公司,批发/零售,150-500人,民营公司,5,1,,,,,,2022-03-05 14:00:01,https://jobs.51job.com/chengdu-qyq/138464155.html?s=sou_sou_soulb&t=0_0,数据专员,数据专员,138464155,员工旅游 餐饮补贴 绩效奖金 专业培训 定期体检 年终奖金,,0_0,4-4.8千/月,,engine_jds,03-05,090201,成都-青羊区,3
,,"成都-金牛区,5-7年经验,本科,招1人",6704940,https://jobs.51job.com/all/coVDRWNVQ3AjhTPwxrUjc.html,四川悦衣美萱品牌管理有限公司,服装/纺织/皮革,150-500人,民营公司,6,1,,,,,,2022-03-05 11:16:23,https://jobs.51job.com/chengdu-jnq/135989527.html?s=sou_sou_soulb&t=0_0,高级数据分析师,高级数据分析师,135989527,六险 绩效奖金 专业培训 加班补贴 年终分红,,0_0,1.5-2.5万/月,,engine_jds,03-05,090203,成都-金牛区,6
,,"成都,3-4年经验,大专,招若干人",2275011,https://jobs.51job.com/all/co2275011.html,郑州软通合力计算机技术有限公司,计算机软件,150-500人,民营公司,5,1,,,,,,2022-03-05 10:33:58,https://jobs.51job.com/chengdu/133869004.html?s=sou_sou_soulb&t=0_0,ETL开发工程师,ETL开发工程师,133869004,五险一金 免费班车 餐饮补贴,,0_0,0.8-1.5万/月,,engine_jds,03-05,090200,成都,5
,,"成都-高新区,5-7年经验,本科,招2人",5176547,https://jobs.51job.com/all/co5176547.html,元气森林（北京）食品科技集团有限公司,快速消费品(食品、饮料、化妆品),1000-5000人,合资,6,1,,,,,,2022-03-05 10:00:01,https://jobs.51job.com/chengdu-gxq/138451828.html?s=sou_sou_soulb&t=0_0,主数据治理专家 (MJ004726),主数据治理专家 (MJ004726),138451828,五险一金 定期体检 弹性工作 无限畅饮 补充医疗保险 节日福利,,0_0,2-3万/月,,engine_jds,03-05,090220,成都-高新区,6
,,"成都-锦江区,3-4年经验,大专,招1人",3679565,https://jobs.51job.com/all/co3679565.html,四川杰斯顿电气设备有限公司,仪器仪表/工业自动化,50-150人,民营公司,5,1,,,,,,2022-03-05 10:00:01,https://jobs.51job.com/chengdu-jjq/138381183.html?s=sou_sou_soulb&t=0_0,简阳线损负责人,简阳线损负责人,138381183,年终奖金 带薪年假 周末双休,,0_0,4-6千/月,,engine_jds,03-05,090202,成都-锦江区,5
,,"成都-青羊区,1年经验,大专,招若干人",6505498,https://jobs.51job.com/all/coUzNQMQVmU2gDYgRuUj8.html,四川淘福供应链有限公司,互联网/电子商务,少于50人,民营公司,5,1,,,,,,2022-03-05 09:23:13,https://jobs.51job.com/chengdu-qyq/136995495.html?s=sou_sou_soulb&t=0_0,数据处理工程师（元宇宙领域）,数据处理工程师（元宇宙领域）,136995495,绩效奖金 购买社保 股票期权,,0_0,4-6千/月,,engine_jds,03-05,090201,成都-青羊区,3
,,"成都-高新区,2年经验,大专,招1人",3232311,https://jobs.51job.com/all/co3232311.html,成都金尚品珠宝有限公司,奢侈品/收藏品/工艺品/珠宝,150-500人,民营公司,5,1,,,,,,2022-03-05 04:02:11,https://jobs.51job.com/chengdu-gxq/138454513.html?s=sou_sou_soulb&t=0_0,数据分析助理,数据分析助理,138454513,餐饮补贴 绩效奖金 年终奖金 员工旅游 周末双休 五险,,0_0,4-6千/月,,engine_jds,03-05,090220,成都-高新区,4
,,"成都-武侯区,无需经验,本科,招1人",726270,https://jobs.51job.com/all/co726270.html,成都新东方学校,教育/培训/院校,1000-5000人,上市公司,6,1,,,,,,2022-03-04 20:11:54,https://jobs.51job.com/chengdu-whq/136966266.html?s=sou_sou_soulb&t=0_0,数据专员(J27460),数据专员(J27460),136966266,五险一金 专业培训 定期体检 出国机会 绩效奖金 员工旅游 餐饮补贴 定期团建 交通补贴 补充医疗保险,,0_0,0.6-1万/月,,engine_jds,03-04,090204,成都-武侯区,10
,,"成都-锦江区,5-7年经验,本科,招3人",5395,https://jobs.51job.com/all/co5395.html,友邦资讯科技（广州）有限公司,计算机软件,500-1000人,外资（非欧美）,6,1,,,,,,2022-03-04 18:13:14,https://jobs.51job.com/chengdu-jjq/134511695.html?s=sou_sou_soulb&t=0_0,ETL开发工程师,ETL开发工程师,134511695,五险一金 补充医疗保险 年终奖金 绩效奖金 弹性工作 大牛遍布 15薪 超长带薪年假,,0_0,1.5-2万/月,,engine_jds,03-04,090202,成都-锦江区,6
,,"成都-锦江区,3-4年经验,大专,招2人",4850848,https://jobs.51job.com/all/co4850848.html,成都大数汇聚科技有限公司,计算机软件,50-150人,民营公司,5,1,,,,,,2022-03-04 17:56:50,https://jobs.51job.com/chengdu-jjq/134019306.html?s=sou_sou_soulb&t=0_0,ETL开发工程师,ETL开发工程师,134019306,五险一金 交通补贴 餐饮补贴 年终奖金 绩效奖金 弹性工作 定期体检 专业培训,,0_0,1-2万/月,,engine_jds,03-04,090202,成都-锦江区,5
,,"成都-武侯区,2年经验,本科,招1人",6618088,https://jobs.51job.com/all/coVTVSMF89VWMGYwFqBms.html,爱思特医疗美容有限公司,医疗/护理/卫生,,外资（非欧美）,6,1,,,,,,2022-03-04 16:17:19,https://jobs.51job.com/chengdu-whq/137852206.html?s=sou_sou_soulb&t=0_0,数据分析员（管理集团旗下VIP会员数据）,数据分析员（管理集团旗下VIP会员数据）,137852206,补充医疗保险 餐饮补贴 绩效奖金 五险一金,,0_0,0.7-1万/月,,engine_jds,03-04,090204,成都-武侯区,4
,,"成都,3-4年经验,大专,招1人",3327621,https://jobs.51job.com/all/co3327621.html,成都钻立方珠宝有限公司,奢侈品/收藏品/工艺品/珠宝,500-1000人,民营公司,5,1,,,,,,2022-03-04 16:12:39,https://jobs.51job.com/chengdu/137555290.html?s=sou_sou_soulb&t=0_0,数据仓库工程师,数据仓库工程师,137555290,五险一金 员工旅游 通讯补贴 专业培训 定期体检 年终奖金,,0_0,0.8-1.5万/月,,engine_jds,03-04,090200,成都,5
,,"成都,1年经验,本科,招2人",4130455,https://jobs.51job.com/all/co4130455.html,成都信拓卓成科技有限公司,通信/电信/网络设备,少于50人,民营公司,6,1,,,,,,2022-03-04 15:54:49,https://jobs.51job.com/chengdu/138089508.html?s=sou_sou_soulb&t=0_0,数据开发工程师,数据开发工程师,138089508,五险一金 补充医疗保险 员工旅游 交通补贴 餐饮补贴 通讯补贴 定期体检 绩效奖金,,0_0,5-8千/月,,engine_jds,03-04,090200,成都,3
,,"成都-天府新区,2年经验,大专,招若干人",720257,https://jobs.51job.com/all/co720257.html,纬创软件（武汉）有限公司,计算机软件,5000-10000人,外资（非欧美）,5,1,,,,,,2022-03-04 15:14:46,https://jobs.51job.com/chengdu-tfxq/138379608.html?s=sou_sou_soulb&t=0_0,ETL开发工程师,ETL开发工程师,138379608,,,0_0,1.2-1.8万/月,,engine_jds,03-04,090222,成都-天府新区,4
,,"成都-高新区,无需经验,大专,招若干人",6577705,https://jobs.51job.com/all/coVjZUNQdjATgAYlY1XT0.html,成都聚数云海科技有限公司,计算机软件,少于50人,民营公司,5,1,,1,,,,2022-03-04 14:35:14,https://jobs.51job.com/chengdu-gxq/135579470.html?s=sou_sou_soulb&t=0_0,数据分析师实习生,数据分析师实习生,135579470,,,0_0,3-4.5千/月,intern,engine_jds,03-04,090220,成都-高新区,10
ad_track,adid,attribute_text,coid,company_href,company_name,companyind_text,companysize_text,companytype_text,degreefrom,effect,isFromXyz,isIntern,is_special_job,iscommunicate,isdiffcity,issuedate,job_href,job_name,job_title,jobid,jobwelf,jobwelf_list,jt,providesalary_text,tags,type,updatedate,workarea,workarea_text,workyear
,,"成都-新都区,无需经验,高中,招5人",6413251,https://jobs.51job.com/all/co6413251.html,深圳满天星国际供应链有限公司,计算机软件,,民营公司,2,1,,,,,,2022-03-06 04:01:18,https://jobs.51job.com/chengdu-xdq/138579727.html?s=sou_sou_soulb&t=0_0,高新直聘跨境电商物流销售,高新直聘跨境电商物流销售,138579727,弹性工作 节日福利 专业培训 带薪年假 绩效奖金 六险一金 年度旅游 下午茶,,0_0,4.5-6千/月,,engine_jds,03-06,090208,成都-新都区,10
,,"成都-武侯区,2年经验,大专,招1人",6857113,https://jobs.51job.com/all/coAmJSPlE3Vm8OagBiAGY.html,成都汉姆冷烟科技有限公司,电子技术/半导体/集成电路,少于50人,民营公司,5,1,,,,,,2022-03-06 04:01:18,https://jobs.51job.com/chengdu-whq/138559930.html?s=sou_sou_soulb&t=0_0,跨境电商ebay运营主管,跨境电商ebay运营主管,138559930,五险一金 餐饮补贴 交通补贴,,0_0,0.5-1万/月,,engine_jds,03-06,090204,成都-武侯区,4
,,"成都,2年经验,本科,招若干人",428472,https://jobs.51job.com/all/co428472.html,四川华景国贸实业有限责任公司,贸易/进出口,50-150人,民营公司,6,1,,,,,,2022-03-06 04:01:18,https://jobs.51job.com/chengdu/137765998.html?s=sou_sou_soulb&t=0_0,跨境电商运营专员,跨境电商运营专员,137765998,周末双休 带薪年假 五险一金 绩效奖金 节日福利 专业培训 交通补贴 餐饮补贴 加班补贴 通讯补贴,,0_0,6-8千/月,,engine_jds,03-06,090200,成都,4
,,"成都,2年经验,大专,招1人",5492526,https://jobs.51job.com/all/co5492526.html,四川绿色立白纸业有限公司,快速消费品(食品、饮料、化妆品),50-150人,民营公司,5,1,,,,,,2022-03-06 04:01:18,https://jobs.51job.com/chengdu/137230896.html?s=sou_sou_soulb&t=0_0,跨境电商运营,跨境电商运营,137230896,五险一金 绩效奖金 节日福利,,0_0,0.5-1万/月,,engine_jds,03-06,090200,成都,4
,,"成都-武侯区,无需经验,大专,招5人",5631764,https://jobs.51job.com/all/co5631764.html,成都嘉信康宇科技有限公司,贸易/进出口,50-150人,民营公司,5,1,,,,,,2022-03-06 04:01:18,https://jobs.51job.com/chengdu-whq/122171012.html?s=sou_sou_soulb&t=0_0,跨境电商运营,跨境电商运营,122171012,五险一金 带薪年假 节日福利 住房补贴 餐饮补贴 生日礼金 年终奖金 周末双休,,0_0,6-8千/月,,engine_jds,03-06,090204,成都-武侯区,10
,,"成都-金牛区,3-4年经验,本科,招1人",5592027,https://jobs.51job.com/all/co5592027.html,山东滨州海发网业有限责任公司,建筑/建材/工程,少于50人,民营公司,6,1,,,,,,2022-03-06 14:50:58,https://jobs.51job.com/chengdu-jnq/120275918.html?s=sou_sou_soulb&t=0_0,跨境电商运营,跨境电商运营,120275918,利润提成 绩效工资 管理岗位分红 年终分红 五险一金,,0_0,1-2万/月,,engine_jds,03-06,090203,成都-金牛区,5
,,"成都-武侯区,无需经验,大专,招4人",6592271,https://jobs.51job.com/all/coAWEAYQVvVWlRNgVhVDA.html,成都市荣兴致远科技有限公司,金融/投资/证券,少于50人,民营公司,5,1,,,,,,2022-03-06 14:00:01,https://jobs.51job.com/chengdu-whq/137616212.html?s=sou_sou_soulb&t=0_0,跨境电商咨询顾问,跨境电商咨询顾问,137616212,全勤奖 节日福利 餐饮补贴,,0_0,0.8-1万/月,,engine_jds,03-06,090204,成都-武侯区,10
,,"成都-高新区,3-4年经验,本科,招1人",5515106,https://jobs.51job.com/all/co5515106.html,深圳市猿人创新科技有限公司,互联网/电子商务,500-1000人,民营公司,6,1,,,,,,2022-03-06 04:01:18,https://jobs.51job.com/chengdu-gxq/138490382.html?s=sou_sou_soulb&t=0_0,跨境电商运营主管,跨境电商运营主管,138490382,,,0_0,1-1.2万/月,,engine_jds,03-06,090220,成都-高新区,5
,,"成都-高新区,1年经验,大专,招1人",6334517,https://jobs.51job.com/all/co6334517.html,成都安瑞健康科技有限公司,计算机软件,50-150人,外资（欧美）,5,1,,,,,,2022-03-06 04:00:00,https://jobs.51job.com/chengdu-gxq/133528216.html?s=sou_sou_soulb&t=0_0,跨境电商德语运营专员,跨境电商德语运营专员,133528216,出国机会 周末双休 不加班 带薪年假 五险一金 绩效奖金 节日福利 年终奖金 团队活动 专业培训,,0_0,0.5-1万/月,,engine_jds,03-06,090220,成都-高新区,3
,,"成都-武侯区,无需经验,大专,招5人",6799903,https://jobs.51job.com/all/coCWldPgBqBDNUOANgVTM.html,四川安屹文化传播有限公司,专业服务(咨询、人力资源、财会),少于50人,民营公司,5,1,,,,,,2022-03-05 14:33:32,https://jobs.51job.com/chengdu-whq/137856717.html?s=sou_sou_soulb&t=0_0,跨境电商销售+补贴+住宿,跨境电商销售+补贴+住宿,137856717,五险一金 员工旅游 餐饮补贴 专业培训 年终奖金 交通补贴,,0_0,6-8千/月,,engine_jds,03-05,090204,成都-武侯区,10
,,"成都-新都区,1年经验,大专,招2人",2531935,https://jobs.51job.com/all/co2531935.html,北京华夏志勇科技发展有限公司,贸易/进出口,150-500人,民营公司,5,1,,,,,,2022-03-05 09:08:53,https://jobs.51job.com/chengdu-xdq/131432219.html?s=sou_sou_soulb&t=0_0,跨境电商 ebay 速卖通英语,跨境电商 ebay 速卖通英语,131432219,全勤奖 节日福利 专业培训,,0_0,3-9千/月,,engine_jds,03-05,090208,成都-新都区,3
